,X,Y
398,398,0.08
399,399,0.28
400,400,0.01
401,401,0.44
402,402,0.06
403,403,0.37
404,404,0.39
405,405,0.46
406,406,-0.07
407,407,0.24
408,408,-0.07
409,409,0.25
410,410,-0.09
411,411,0.15
412,412,0.29
413,413,0.19
414,414,0.08
415,415,0.27
416,416,0.2
417,417,0.13
418,418,0.28
419,419,0.27
420,420,0.28
421,421,0.38
422,422,0.65
423,423,0.46
424,424,0.31
425,425,0.17
426,426,0.6
427,427,0.53
428,428,0.55
429,429,0.5
430,430,0.24
431,431,0.34
432,432,0.36
433,433,-0.02
434,434,0.56
435,435,0.21
436,436,0.38
437,437,0.66
438,438,0.01
439,439,0.33
440,440,0.38
441,441,0.15
442,442,0.45
443,443,0.08
444,444,0.22
445,445,-0.04
446,446,0.25
447,447,0.6
448,448,-0.09
449,449,0.24
450,450,0.18
451,451,0.43
452,452,0.44
453,453,0.38
454,454,0.57
455,455,-0.16
456,456,0.43
457,457,0.36
458,458,0.12
459,459,-0.33537630737101387
460,460,0.22
461,461,0.22
462,462,0.06
463,463,0.67
464,464,0.37
465,465,0.34
466,466,0.34
467,467,0.13
468,468,0.13
469,469,0.14
470,470,0.25
471,471,0.27
472,472,0.26
473,473,0.27
474,474,-0.25
475,475,0.62
476,476,0.3
477,477,0.25
478,478,0.28
479,479,-0.19
480,480,0.22
481,481,0.2
482,482,0.2
483,483,0.28
484,484,0.44
485,485,0.17
486,486,0.24
487,487,0.13
488,488,0.12
489,489,0.36
490,490,0.56
491,491,0.5
492,492,0.3
493,493,0.52
494,494,0.64
495,495,0.47
496,496,0.25
497,497,0.35
498,498,0.54
499,499,0.25
500,500,0.57
501,501,0.5
502,502,0.88
503,503,0.65
504,504,0.34
505,505,0.58
506,506,0.5
507,507,0.49
508,508,0.46
509,509,0.62
510,510,0.2
511,511,0.4
512,512,0.21
513,513,0.43
514,514,0.14
515,515,0.56
516,516,0.45
517,517,-0.08
518,518,0.4
519,519,0.37
520,520,0.2
521,521,0.33
522,522,0.52
523,523,0.17
524,524,0.17
525,525,0.21
526,526,0.35
527,527,0.47
528,528,0.39
529,529,0.62
530,530,0.57
531,531,0.21
532,532,0.64
533,533,0.41
534,534,0.33
535,535,0.38
536,536,0.39
537,537,0.08
538,538,0.2
539,539,0.39
540,540,0.39
541,541,0.26
542,542,0.25
543,543,0.28
544,544,0.16
545,545,0.4
546,546,0.62
547,547,0.33
548,548,0.48
549,549,0.06
550,550,0.07
551,551,0.22
552,552,0.39
553,553,0.13
554,554,0.23
555,555,0.32
556,556,0.38
557,557,0.25
558,558,0.71
559,559,0.1
560,560,0.16
561,561,-0.01
562,562,0.81
563,563,0.31
564,564,0.71
565,565,0.73
566,566,0.72
567,567,0.42
568,568,0.59
569,569,0.24
570,570,0.11
571,571,0.25
572,572,0.52
573,573,0.8
574,574,-0.06
575,575,0.31
576,576,0.09
577,577,0.24
578,578,0.3
579,579,0.25
