,Fea,2k_th,3k_th,Mean,LSL,USL
407,FRT_CAB_MNT_Y_DIFF[Y],1.0240588208080064,0.8674838374562928,1.0640637290543693,-1.0,1.0
408,FrameLen[X],0.30894597432733484,0.5280548962088217,0.252963644786615,-1.0,1.0
409,FrameLen[X Distance],0.5685036270281832,-0.35798184110021225,0.8052206641349883,-1.0,1.0
410,FrameLen[Custom Scalar 9],0.30894597432733484,0.5280548962088217,0.252963644786615,-1.0,1.0
411,LH Front Mod Datum[X],1.8826161615847403,0.8085229393497837,2.157046979865772,-1.5,1.5
412,LH Front Mod Datum[Y],0.8746018809772469,3.2189899151150683,0.2756107382550335,-1.5,1.5
413,LH_Engine_Mount_Bottom[X],-0.27125341187170166,-0.1414843938621021,-0.30440939597315436,-1.5,1.5
414,LH_Engine_Mount_Bottom[Y],-0.42324846984454984,-0.3953038017813361,-0.43038833253470093,-1.5,1.5
415,RH Front Mod Datum[X],-1.2455116936572763,-1.2622039062396178,-1.2412468333424882,-1.5,1.5
416,RH Front Mod Datum[Y],-0.9330066646046264,-1.0288673462033455,-0.9085142604561537,-1.5,1.5
417,RH Rear Mod Datum[X],-0.8568896352903445,-1.0772797494066724,-0.8005799611336226,-1.5,1.5
418,RH Rear Mod Datum[Y],-0.27896888630497046,-0.7543721371866632,-0.15750335570469798,-1.5,1.5
