,SN,Bad,Bad Critical,Critical Pass Rate,Good,Ignored,Pass Rate
1314,FR320028030137,8,2,0.8181818181818182,81,1,0.9101123595505618
1315,FR320028030138,4,1,0.9090909090909091,85,1,0.9550561797752809
1316,FR320028030139,5,1,0.9090909090909091,84,1,0.9438202247191011
1317,FR320028030140,6,2,0.8181818181818182,83,1,0.9325842696629213
1318,FR320028030141,6,2,0.8181818181818182,83,1,0.9325842696629213
1319,FR320028030142,7,2,0.8181818181818182,82,1,0.9213483146067416
1320,FR320028030143,8,2,0.8181818181818182,81,1,0.9101123595505618
1321,FR320028030144,8,2,0.8181818181818182,81,1,0.9101123595505618
1322,FR320028030145,6,1,0.9090909090909091,83,1,0.9325842696629213
1323,FR320028030146,6,1,0.9090909090909091,83,1,0.9325842696629213
1324,FR320028030147,6,2,0.8181818181818182,83,1,0.9325842696629213
1325,FR320028030148,7,1,0.9090909090909091,82,1,0.9213483146067416
1326,FR320028030149,6,2,0.8181818181818182,83,1,0.9325842696629213
1327,FR320028030150,5,1,0.9090909090909091,84,1,0.9438202247191011
1328,FR320028030151,8,2,0.8181818181818182,81,1,0.9101123595505618
1329,FR320028030152,6,1,0.9090909090909091,83,1,0.9325842696629213
1330,FR320028030153,6,1,0.9090909090909091,83,1,0.9325842696629213
1331,FR320028030154,6,1,0.9090909090909091,83,1,0.9325842696629213
1332,FR320028030155,7,2,0.8181818181818182,82,1,0.9213483146067416
1333,FR320028030156,8,2,0.8181818181818182,81,1,0.9101123595505618
1334,FR320028030157,4,1,0.9090909090909091,85,1,0.9550561797752809
1335,FR320028030158,7,2,0.8181818181818182,82,1,0.9213483146067416
1336,FR320028030159,6,1,0.9090909090909091,83,1,0.9325842696629213
1337,FR320028030160,6,1,0.9090909090909091,83,1,0.9325842696629213
1338,FR320028030161,9,2,0.8181818181818182,80,1,0.898876404494382
1339,FR320028030162,5,1,0.9090909090909091,84,1,0.9438202247191011
1340,FR320028030163,5,1,0.9090909090909091,84,1,0.9438202247191011
1341,FR320028030164,6,1,0.9090909090909091,83,1,0.9325842696629213
1342,FR320028030165,6,1,0.9090909090909091,83,1,0.9325842696629213
1343,FR320028030166,7,1,0.9090909090909091,82,1,0.9213483146067416
1344,FR320028030167,8,2,0.8181818181818182,81,1,0.9101123595505618
1345,FR320028030168,8,2,0.8181818181818182,81,1,0.9101123595505618
1346,FR320028030169,8,2,0.8181818181818182,81,1,0.9101123595505618
1347,FR320028030170,8,2,0.8181818181818182,81,1,0.9101123595505618
1348,FR320028030171,8,2,0.8181818181818182,81,1,0.9101123595505618
1349,FR320028030172,6,1,0.9090909090909091,83,1,0.9325842696629213
1350,FR320028030173,6,1,0.9090909090909091,83,1,0.9325842696629213
1351,FR320028030174,14,4,0.8181818181818182,164,2,0.9213483146067416
1352,FR320028030175,7,1,0.9090909090909091,82,1,0.9213483146067416
1353,FR320028030176,8,2,0.8181818181818182,81,1,0.9101123595505618
1354,FR320028030177,4,1,0.9090909090909091,85,1,0.9550561797752809
1355,FR320028030178,7,2,0.8181818181818182,82,1,0.9213483146067416
1356,FR320028030179,6,1,0.9090909090909091,83,1,0.9325842696629213
1357,FR320028030180,8,2,0.8181818181818182,81,1,0.9101123595505618
1358,FR320028030181,8,2,0.8181818181818182,81,1,0.9101123595505618
1359,FR320028030182,8,2,0.8181818181818182,81,1,0.9101123595505618
1360,FR320028030183,7,1,0.9090909090909091,82,1,0.9213483146067416
1361,FR320028030184,5,1,0.9090909090909091,84,1,0.9438202247191011
1362,FR320028030185,8,2,0.8181818181818182,81,1,0.9101123595505618
1363,FR320028030186,4,1,0.9090909090909091,85,1,0.9550561797752809
1364,FR320028030187,8,2,0.9090909090909091,170,2,0.9550561797752809
1365,FR320028030188,5,1,0.9090909090909091,84,1,0.9438202247191011
1366,FR320028030189,6,2,0.8181818181818182,83,1,0.9325842696629213
1367,FR320028030190,5,1,0.9090909090909091,84,1,0.9438202247191011
1368,FR320028030191,5,1,0.9090909090909091,84,1,0.9438202247191011
1369,FR320028030192,6,2,0.8181818181818182,83,1,0.9325842696629213
1370,FR320028030193,6,1,0.9090909090909091,83,1,0.9325842696629213
1371,FR320028030194,4,1,0.9090909090909091,85,1,0.9550561797752809
1372,FR320028030195,4,1,0.9090909090909091,85,1,0.9550561797752809
1373,FR320028030196,4,1,0.9090909090909091,85,1,0.9550561797752809
1374,FR320028030197,4,1,0.9090909090909091,85,1,0.9550561797752809
1375,FR320028030198,8,2,0.8181818181818182,81,1,0.9101123595505618
1376,FR320028030199,8,2,0.8181818181818182,81,1,0.9101123595505618
1377,FR320028030200,6,2,0.8181818181818182,83,1,0.9325842696629213
1378,FR320028030201,8,2,0.8181818181818182,81,1,0.9101123595505618
1379,FR320028030202,4,1,0.9090909090909091,85,1,0.9550561797752809
1380,FR320028030203,6,2,0.8181818181818182,83,1,0.9325842696629213
1381,FR320028030204,8,2,0.8181818181818182,81,1,0.9101123595505618
1382,FR320028030205,8,2,0.8181818181818182,81,1,0.9101123595505618
1383,FR320028030206,10,2,0.8181818181818182,79,1,0.8876404494382022
1384,FR320028030207,6,1,0.9090909090909091,83,1,0.9325842696629213
1385,FR320028030213,8,2,0.8181818181818182,81,1,0.9101123595505618
1386,FR320028030214,7,1,0.9090909090909091,82,1,0.9213483146067416
1387,FR320028030215,16,4,0.8181818181818182,162,2,0.9101123595505618
1388,FR320028030216,7,1,0.9090909090909091,82,1,0.9213483146067416
1389,FR320028030217,6,1,0.9090909090909091,83,1,0.9325842696629213
1390,FR320028030218,7,1,0.9090909090909091,82,1,0.9213483146067416
1391,FR320028030219,4,1,0.9090909090909091,85,1,0.9550561797752809
1392,FR320028030220,5,1,0.9090909090909091,84,1,0.9438202247191011
1393,FR320028030221,5,1,0.9090909090909091,84,1,0.9438202247191011
